reason,dataset_id,dataset_name,platform,species,tissue,data_access_link,original_publication,original_publication_link
landing page or accession only - no direct file URL resolved,bckdahl2021_visium,Bäckdahl et al. spatial transcriptomics dataset,Visium,human,subcutaneous white adipose tissue,https://doi.org/10.17632/3bs5f8mvbs.1,"Bäckdahl et al., Spatial mapping reveals human adipocyte subpopulations with distinct sensitivities to insulin, Cell Metabolism (2021)",https://doi.org/10.1016/j.cmet.2021.10.012
landing page or accession only - no direct file URL resolved,bray2017_cell_paintin,CDRP dataset,Cell Painting,,U2OS cell line,https://github.com/gigascience/paper-bray2017/blob/master/download_cil_images.sh,"Bray et al., A dataset of images and morphological profiles of 30,000 small-molecule treatments using the cell painting assay, Gigascience (2017)",https://doi.org/10.1093/gigascience/giw014
landing page or accession only - no direct file URL resolved,cho_k1_and_mpc_1_mass_spectro,CHO-K1 and MPC-11 spatial proteomics datasets,Mass Spectrometry (LOPIT-DC / TMT),Cricetulus griseus / Mus musculus,,PXD029115,,
landing page or accession only - no direct file URL resolved,welch2022_visium,CK-p25 mouse coronal brain data set,10x Genomics Visium Spatial Proteogenomics (SPG),mouse,coronal brain tissue,https://www.10xgenomics.com/resources/datasets/,"Welch et al., Neurons burdened by DNA double-strand breaks incite microglia activation through antiviral-like signaling in neurodegeneration, Sci Adv (2022)",https://doi.org/10.1126/sciadv.abo4662
landing page or accession only - no direct file URL resolved,codex_codex,CODEX,CODEX,human,bone marrow,https://plus.figshare.com/collections/_/7174914,,
landing page or accession only - no direct file URL resolved,black2021_codex,CODEX data,CODEX,human,bone marrow,https://plus.figshare.com/collections/_/7174914,"Black et al., CODEX multiplexed fluorescence in situ hybridization, Nat. Protoc. (2021)",
landing page or accession only - no direct file URL resolved,codex_dataset_codex,CODEX dataset,CODEX,human,"colon adenocarcinoma, hepatocellular carcinoma, ovarian cancer",https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011129,,
landing page or accession only - no direct file URL resolved,hickey2023_codex,CODEX human healthy intestine dataset,CODEX,Human,Intestine,https://datadryad.org/stash/dataset/doi:10.5061/dryad.pk0p2ngrf,"Hickey et al., Organization of the human intestine at single-cell resolution, Nature (2023)",
landing page or accession only - no direct file URL resolved,goltsev2018_codex,CODEX human spleen datasets,CODEX,mouse,spleen,https://data.mendeley.com/datasets/zjnpwh8m5b/1,"Goltsev et al., Deep Profiling of Mouse Splenic Architecture with CODEX Multiplexed Imaging, Cell (2018)",https://doi.org/10.3410/f.733725075.793569398
landing page or accession only - no direct file URL resolved,codex_imaging_da2022_codex,CODEX imaging dataset,CODEX multiplexed tissue imaging,Human,Kidney biopsy,DOI: 10.48698/z30t-0a62,A reference tissue atlas for the human kidney,https://doi.org/10.1126/sciadv.abn4965
landing page or accession only - no direct file URL resolved,hickey2023_codex_2,CODEX melanoma spatial proteomics dataset,CODEX,human,melanoma / tumor tissue,https://datadryad.org/dataset/doi:10.5061/dryad.k0p2ngfcc,"Hickey et al., T cell-mediated curation and restructuring of tumor tissue coordinates an effective immune response, Cell Rep (2023)",https://doi.org/10.1016/j.celrep.2023.113494
landing page or accession only - no direct file URL resolved,hickey2023_codex_3,CODEX multiplexed imaging dataset of the human intestine,CODEX,human,intestine,https://doi.org/10.5061/dryad.pk0p2ngrf,"Hickey et al., Organization of the human intestine at single-cell resolution, Nature (2023)",
landing page or accession only - no direct file URL resolved,hickey2023_codex_4,CODEX multiplexed imaging dataset of the human intestine,CODEX,human,intestine,https://doi.org/10.5061/dryad.pk0p2ngrf,"Hickey et al., Organization of the human intestine at single-cell resolution, Nature (2023)",
landing page or accession only - no direct file URL resolved,oliveira2025_visium,"CRC pair (Visium CytAssist V2, Sample P2 CRC; Xenium In Situ, Sample P2 CRC; Chromium Single Cell Flex)",10x Genomics Xenium / Visium,Human,colorectal cancer,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,"Oliveira et al., High-definition spatial transcriptomic profiling of immune cell populations in colorectal cancer, Nat Genet (2025)",https://doi.org/10.1038/s41588-025-02193-3
landing page or accession only - no direct file URL resolved,cacao_transcript2024_quantseq_3_l,"Cacao Transcriptome Atlas (Developmental, Drought and Diurnal, Meristem, Seed, Leaf Development, and Leaf Infection Atlases)",QuantSeq 3' (Lexogen) and TruSeq (Illumina),Theobroma cacao L.,"123 different tissues and stages of development across major organs (seeds, meristems, leaves, stems, roots, fruits, flowers)",10.5061/dryad.0k6djhb59,The cacao gene atlas: a transcriptome developmental atlas reveals highly tissue-specific and dynamically-regulated gene networks in  Theobroma cacao  L,https://doi.org/10.1186/s12870-024-05171-9
landing page or accession only - no direct file URL resolved,cancer_transcrip_geomx,"Cancer Transcriptomic Atlas RNA panel dataset (DLE, LP, psoriasis, and control skin)",GeoMx,human,"skin (DLE, LP, psoriasis, control skin)",https://data.mendeley.com/datasets/bv5rph7w9h/1,,
landing page or accession only - no direct file URL resolved,clark2024_fluorescence,Cell Maps 4 Artificial Intelligence / Bridge2AI perturbation dataset (MDA-MB-468),Fluorescence microscopy,Human,MDA-MB-468 breast cancer cell line,https://dataverse.lib.virginia.edu/dataset.xhtml?persistentId=doi:10.18130/V3/DXWOS5,"Clark et al., Cell Maps for Artificial Intelligence: AI-Ready Maps of Human Cell Architecture from Disease-Relevant Cell Lines, BioRxiv Prepr. Serv. Biol. (2024)",https://doi.org/10.1101/2024.05.21.589311
landing page or accession only - no direct file URL resolved,chick_fetal_hear2025_seeker_curio,Chick Fetal Heart Single-Cell and Spatial Transcriptomics Atlas (Seeker / Curio and Split-seq),Seeker (Curio) and Parse Split-seq,Chicken (Gallus gallus),Fetal heart,GSE311835,"Spatiotemporal Atlas of Heart Development Reveals Blood-Flow-Dependent Cellular, Structural, Metabolic, and Spatial Remodeling",https://doi.org/10.64898/2025.12.09.693024
landing page or accession only - no direct file URL resolved,de2025_chromium,Chromium_HumanColon_Oliveira,Chromium,human,colorectal cancer,https://doi.org/10.1038/s41588-025-02193-3,"de Oliveira et al., High-definition spatial transcriptomic profiling of immune cell populations in colorectal cancer, Nature Genetics (2025)",https://doi.org/10.1038/s41588-025-02193-3
landing page or accession only - no direct file URL resolved,colorectal_adeno_st,Colorectal adenoma FFPE spatial proteomics dataset,Deep Visual Proteomics (DVP) / timsTOF mass spectrometry,Human,Colorectal adenoma (FFPE tissue),PXD046999,,
landing page or accession only - no direct file URL resolved,lee2020_visium,Colorectal cancer (CRC) fresh-frozen specimen,10x Visium,Homo sapiens,Colorectal cancer,https://www.10xgenomics.com/spatial-transcriptomics/,"Lee et al., Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer, Nat. Genet. (2020)",
landing page or accession only - no direct file URL resolved,zhang2023_stereo,Colorectal cancer Stereo-seq data P19 and P36,Stereo-seq,human,colorectal,CNP0002432,"Zhang et al., Spatial transcriptome unveils a discontinuous inflammatory pattern in proficient mismatch repair colorectal adenocarcinoma, Fundamental Research (2023)",https://doi.org/10.1016/j.fmre.2022.01.036
landing page or accession only - no direct file URL resolved,oliveira2024_visiumhd,"Colorectal cancer VisiumHD samples (P1, P2, P5, and normal P3)",Visium-HD,human,colorectal cancer,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,"Oliveira et al., Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling, bioRxiv (2024)",https://doi.org/10.1101/2024.06.04.597233
landing page or accession only - no direct file URL resolved,common_marmoset_2025_xenium,Common marmoset basal ganglia spatial transcriptomics dataset,10X Xenium,common marmoset,basal ganglia,https://brain-map.org/consortia/hmba/hmba-release-basal-ganglia,A cross-species spatial transcriptomic atlas of the human and non-human primate basal ganglia,https://doi.org/10.1101/2025.11.22.688128
landing page or accession only - no direct file URL resolved,schurch2020coordinated,Coordinated cellular neighborhoods orchestrate antitumoral immunity at the colorectal cancer invasive front,CODEX,human,colorectal,https://www.cancerimagingarchive.net/collection/crc_ffpe-codex_cellneighs/,Coordinated cellular neighborhoods orchestrate antitumoral immunity at the colorectal cancer invasive front,https://www.sciencedirect.com/science/article/pii/S0092867420308709?via%3Dihub
landing page or accession only - no direct file URL resolved,cosmx_6k_dataset_cosmx,CosMx 6K dataset,CosMx 6K,human,"colon adenocarcinoma, hepatocellular carcinoma, ovarian cancer",https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011129,,
landing page or accession only - no direct file URL resolved,andrews2024_cosmx,CosMx Human Liver,CosMx,Human,Liver,https://nanostring.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/human-liver-rna-ffpe-dataset/,"Andrews et al., Single-cell, single-nucleus, and spatial transcriptomics characterization of the immunological landscape in the healthy and PSC human liver, J. Hepatol. (2024)",https://doi.org/10.1016/j.jhep.2023.12.023
landing page or accession only - no direct file URL resolved,bruker_cosmx_nsclc_ffpe,CosMx NSCLC FFPE dataset,CosMx,human,lung,https://brukerspatialbiology.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/nsclc-ffpe-dataset/,He et al. 2022 Nat Biotechnol,https://doi.org/10.1038/s41587-022-01483-z
landing page or accession only - no direct file URL resolved,he2022_spatial_mole,CosMx SMI human non-small cell lung cancer (NSCLC) dataset (Lung #5-3),Spatial Molecular Imager,Human,Non-small cell lung cancer,https://nanostring.com/products/cosmx-spatial-molecular-imager/nsclc-ffpe-dataset,"He et al., High-plex imaging of RNA and proteins at subcellular resolution in fixed tissue by spatial molecular imaging, Nat. Biotechnol. (2022)",
landing page or accession only - no direct file URL resolved,cosmx_mouse_brai_cosmx,CosMx mouse brain data,CosMx,mouse,brain,https://nanostring.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/cosmx-smi-mouse-brain-ffpe-dataset/,,
landing page or accession only - no direct file URL resolved,cosmx_lung_cosmx,CosMx-Lung,NanoString CosMx,Human,Lung (NSCLC),https://nanostring.com/products/cosmx-spatial-molecular-imager/nsclc-ffpe-dataset/,,
landing page or accession only - no direct file URL resolved,craave_seq_in_vi2025_craaveseq_aa,"CrAAVe-seq in vivo pooled CRISPR screening datasets (M1, M3, and Chaperone libraries)",CrAAVe-seq (AAV episome sequencing / Illumina sequencing),Mouse,Brain,10.5061/dryad.0k6djhb9t,CRISPR screening by AAV episome-sequencing (CrAAVe-seq): a scalable cell-type-specific in vivo platform uncovers neuronal essential genes,https://doi.org/10.1038/s41593-025-02043-9
landing page or accession only - no direct file URL resolved,cytassist_fresh__visium,CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain / external cohort,10x Genomics Visium,mouse,brain,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain_web_summary.html,,
landing page or accession only - no direct file URL resolved,risom2022_mibi,DCIS,MIBI,,breast,10.17632/d87vg86zd8.3,"Risom et al., Transition to invasive breast cancer is associated with progressive changes in the structure and composition of tumor stroma, Cell (2022)",https://doi.org/10.1101/2021.01.05.425362
landing page or accession only - no direct file URL resolved,dataset_12026_merfish,Dataset 1,MERFISH,mouse,brain,https://info.vizgen.com/mouse-brain-map,SCALE: unsupervised multiscale domain identification in spatial omics data,https://doi.org/10.1093/nar/gkaf1456
landing page or accession only - no direct file URL resolved,dataset_22026_visiumhd,Dataset 2,VisiumHD,mouse,brain,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-mouse-brain-he-v4,SCALE: unsupervised multiscale domain identification in spatial omics data,https://doi.org/10.1093/nar/gkaf1456
landing page or accession only - no direct file URL resolved,dataset_2_lymph_2022_codex,Dataset 2 (lymph node),CODEX,human,lymph node,HBM279.TQRS.775,Membrane marker selection for segmenting single cell spatial proteomics data,https://doi.org/10.1038/s41467-022-29667-w
landing page or accession only - no direct file URL resolved,dataset_32026_xenium,Dataset 3,Xenium,mouse,brain,https://www.10xgenomics.com/datasets/xenium-prime-fresh-frozen-mouse-brain,SCALE: unsupervised multiscale domain identification in spatial omics data,https://doi.org/10.1093/nar/gkaf1456
landing page or accession only - no direct file URL resolved,sultana2025_xenium,Dataset 4,Xenium,human,kidney,https://doi.org/10.1101/2024.12.18.629206,"Sultana et al., Spatiotemporal interaction of immune and renal cells controls glomerular crescent formation in autoimmune kidney disease, Nat Immunol (2025)",https://doi.org/10.1038/s41590-025-02291-8
